,ID,avg_rating,rating_count
0,68448,7.443169897473074,9656
1,30549,7.218162791279858,9587
2,822,7.052200999895409,9561
3,36218,7.291175728071126,9223
4,13,6.622429004899293,9185
5,3076,7.691367544786404,8708
6,148228,7.024596037126716,8673
7,9209,7.14661767991656,8629
8,178900,7.480395230072043,8606
9,31260,7.644861414884916,8559
10,40692,6.973647225167904,8487
11,2651,7.679612872705743,8445
12,70323,6.7987980178253125,8415
13,34635,7.280318240960989,8408
14,129622,6.827309244698594,8394
15,84876,7.882901944012441,8359
16,167791,8.002983654816092,8129
17,28143,7.46399071808182,8091
18,230802,7.529480178526527,7954
19,478,6.626999397636294,7869
20,173346,7.769190128006206,7734
21,39856,7.0051590694354315,7705
22,50,6.996038458631922,7675
23,110327,7.3148973235755355,7652
24,98778,6.832410296109415,7531
25,11,6.79171868747499,7497
26,163412,7.426266971049784,7392
27,14996,7.230310635114919,7353
28,169786,7.672736151020408,7350
29,126163,7.679042247360482,7293
30,120677,7.759358092023695,7259
31,6249,6.829021368896415,7086
32,54043,7.215530895224519,7015
33,266192,7.603177293663282,6991
34,157354,7.417009642346209,6990
35,124361,7.895606547001154,6936
36,172,7.096675835137867,6927
37,31481,7.108691374194515,6673
38,204583,7.040335771600301,6655
39,35677,7.657258748490338,6624
40,70919,6.853806931490202,6583
41,65244,6.485573655077768,6558
42,148949,7.345674878570338,6547
43,18602,7.445059957101272,6527
44,132531,7.326617138697317,6525
45,93,7.623552969278034,6510
46,193738,7.9808170457010075,6455
47,12942,6.879781155341315,6431
48,42,7.427240702388435,6364
49,143884,6.261334250160565,6228
50,41114,6.767101723860158,6207
51,2655,6.913031949685535,6201
52,147020,7.169593879296434,6197
53,164928,7.833178073989941,6163
54,12333,7.819587620286086,6152
55,107529,6.78957228092993,6151
56,432,6.761189380185456,6147
57,73439,7.470668944879321,6132
58,199561,7.1820565946299935,6108
59,8217,7.078903683434377,6103
60,133473,6.731803148544168,6079
61,12,7.412509948937572,6071
62,176494,7.222132980912863,6025
63,104006,7.320789906056031,5961
64,131357,6.40553187901318,5918
65,158899,6.765713759296822,5916
66,171623,7.603345521555368,5915
67,15062,6.731982853757617,5908
68,8203,6.580452332029257,5879
69,27162,6.9416966274910585,5871
70,123260,7.22368725994513,5832
71,15512,6.608872557900154,5829
72,108745,7.07404640219818,5823
73,150376,6.988241201237326,5819
74,102794,7.693422725550963,5808
75,5782,6.82771681591183,5807
76,201808,7.4185308525663105,5806
77,122515,7.593918132686645,5773
78,37111,7.136612535726734,5738
79,155426,7.270111493506493,5698
80,170216,7.48015768236544,5648
81,28720,7.944334875886525,5640
82,194655,7.172577514635445,5637
83,153938,6.706021229200214,5589
84,41,6.790081254923022,5586
85,161936,8.191914397417504,5576
86,21790,6.929507234923492,5555
87,121921,7.395338094723573,5553
88,154203,7.052374401446655,5530
89,39463,6.856264302810517,5515
90,244521,7.459523135654697,5514
91,181304,6.958273593522563,5496
92,118,7.229743302180685,5457
93,463,7.012915916758343,5454
94,54,7.185619749677894,5433
95,171,6.558845730068128,5431
96,40834,7.377372664825046,5430
97,9220,6.144675682868232,5411
98,72125,7.3830896799852015,5406
99,18,6.696630992196209,5382
100,144733,7.595393686859272,5365
101,9217,7.131568508359948,5323
102,102680,7.570866554653578,5297
103,16992,6.223098013711674,5251
104,10547,6.271291156292157,5189
105,24480,7.114838095697472,5183
106,2453,6.695348714781937,5182
107,233867,7.287545242699672,5171
108,209685,6.9634024937027705,5161
109,34219,6.956681063788409,5142
110,3955,5.869541000390015,5128
111,63888,6.90779845191556,5116
112,183394,7.634645636007828,5110
113,25554,7.254290316244353,5091
114,2653,6.912943248182354,5089
115,9674,6.992951723315444,5031
116,157969,6.751206067864271,5010
117,37046,6.949425085017003,4999
118,43015,7.4845572945891785,4990
119,5,7.08509781657636,4983
120,1927,4.837153100383761,4951
121,284083,7.820995376038922,4933
122,10630,7.145357254464285,4928
123,3,7.286382641355378,4899
124,15987,6.536516100551808,4893
125,503,6.995062676778028,4879
126,62219,7.511357270863236,4877
127,27588,6.659454449456634,4877
128,48726,7.0074803160919545,4872
129,25613,7.590592234371776,4847
130,140620,7.227781155675006,4837
131,123540,6.517277024622388,4833
132,244992,6.626915927536231,4830
133,555,7.346741371856163,4811
134,100901,6.8999442315701796,4802
135,146508,7.154419560416667,4800
136,116,6.0994124932022595,4781
137,320,5.871358917558213,4767
138,166384,6.587469907446361,4754
139,19857,7.209912053609117,4738
140,237182,7.5936375602027875,4734
141,118048,7.441053685212609,4727
142,37380,6.698241389536116,4721
143,28023,6.69594819279661,4720
144,122522,6.167048908510639,4700
145,177736,7.8320667113951,4695
146,96848,7.499784249786871,4692
147,45,6.690646148735533,4666
148,174430,8.055693569435501,4659
149,31594,7.20784720910262,4658
150,54998,7.072273131465517,4640
151,182028,8.12986328189524,4601
152,162886,7.748549095258808,4598
153,128882,6.998284990211007,4597
154,244522,7.382604902986702,4587
155,1406,3.861788440567066,4585
156,216132,7.680713910284464,4570
157,66188,7.11257989025461,4556
158,760,7.176645778805905,4539
159,182874,7.57319763338499,4517
160,136063,6.8500343060815325,4489
161,113294,6.626689159794963,4487
162,199792,7.539726408592527,4469
163,521,7.6506873433303495,4468
164,25669,6.466311964605735,4464
165,136888,7.24925522824376,4447
166,215,7.263289361079865,4445
167,124742,7.283441048587571,4425
168,181,4.934593898305085,4425
169,236457,7.414840278028933,4424
170,170042,7.406986479452055,4380
171,21763,6.791272470265325,4372
172,161417,6.676303933073573,4363
173,161970,7.231321641344383,4344
